VertX,VertY,VertZ,Latitude,Longtitude,Elevation
0,0,0,43.45101,-80.49552,329.5043334960938
0,0,0,43.451,-80.49553,329.3604431152344
0,0,0,43.45101,-80.49553,329.44140625
0,0,0,43.451,-80.49554,329.2993469238281
0,0,0,43.45101,-80.49554,329.3811340332031
0,0,0,43.451,-80.49555,329.2626647949219
0,0,0,43.45101,-80.49555,329.3387145996094
0,0,0,43.451,-80.49556,329.2259826660156
0,0,0,43.45101,-80.49556,329.2962951660156
0,0,0,43.451,-80.49557,329.1893005371094
0,0,0,43.45101,-80.49557,329.2538757324219
0,0,0,43.451,-80.49558,329.1526489257812
0,0,0,43.45101,-80.49558,329.2114562988281
0,0,0,43.451,-80.49559,329.1236572265625
0,0,0,43.45101,-80.49559,329.1746215820312
0,0,0,43.451,-80.4956,329.0961608886719
0,0,0,43.45101,-80.4956,329.1388854980469
0,0,0,43.451,-80.49561,329.0686950683594
0,0,0,43.45101,-80.49561,329.1031494140625
0,0,0,43.451,-80.49562,329.0411987304688
0,0,0,43.45101,-80.49562,329.0674133300781
0,0,0,43.451,-80.49563,329.0207824707031
0,0,0,43.45101,-80.49563,329.0415649414062
0,0,0,43.451,-80.49564,329.0062561035156
0,0,0,43.45101,-80.49564,329.02392578125
0,0,0,43.451,-80.49565,328.9917297363281
0,0,0,43.45101,-80.49565,329.0062866210938
0,0,0,43.451,-80.49566,328.9772033691406
0,0,0,43.45101,-80.49566,328.9886474609375
0,0,0,43.451,-80.49567,328.9664306640625
0,0,0,43.45101,-80.49567,328.9762878417969
0,0,0,43.451,-80.49568,328.9667358398438
0,0,0,43.45101,-80.49568,328.9795227050781
0,0,0,43.451,-80.49569,328.967041015625
0,0,0,43.45101,-80.49569,328.9827575683594
0,0,0,43.451,-80.4957,328.9673156738281
0,0,0,43.45101,-80.4957,328.9859924316406
0,0,0,43.451,-80.49571,328.9676208496094
0,0,0,43.45101,-80.49571,328.9892272949219
0,0,0,43.451,-80.49572,328.9702758789062
0,0,0,43.45101,-80.49572,328.9933776855469
0,0,0,43.451,-80.49573,328.9730224609375
0,0,0,43.45101,-80.49573,328.99755859375
0,0,0,43.451,-80.49574,328.9757690429688
0,0,0,43.45101,-80.49574,329.0017700195312
0,0,0,43.451,-80.49575,328.978515625
0,0,0,43.45101,-80.49575,329.0059509277344
0,0,0,43.451,-80.49576,328.9911804199219
0,0,0,43.45101,-80.49576,329.0142211914062
0,0,0,43.451,-80.49577,329.0086975097656
0,0,0,43.45101,-80.49577,329.0244750976562
0,0,0,43.451,-80.49578,329.0262145996094
0,0,0,43.45101,-80.49578,329.0347595214844
0,0,0,43.451,-80.49579,329.0437622070312
0,0,0,43.45101,-80.49579,329.0450134277344
0,0,0,43.451,-80.4958,329.0613708496094
0,0,0,43.45101,-80.4958,329.0553894042969
0,0,0,43.451,-80.49581,329.0791625976562
0,0,0,43.45101,-80.49581,329.06591796875
0,0,0,43.451,-80.49582,329.0969848632812
0,0,0,43.45101,-80.49582,329.0764770507812
0,0,0,43.451,-80.49583,329.1147766113281
0,0,0,43.45101,-80.49583,329.0870056152344
0,0,0,43.451,-80.49584,329.1309814453125
0,0,0,43.45101,-80.49584,329.0966491699219
0,0,0,43.451,-80.49585,329.130859375
0,0,0,43.45101,-80.49585,329.09716796875
0,0,0,43.451,-80.49586,329.1307067871094
0,0,0,43.45101,-80.49586,329.09765625
0,0,0,43.451,-80.49587,329.1305541992188
0,0,0,43.45101,-80.49587,329.0981750488281
0,0,0,43.451,-80.49588,329.1304321289062
0,0,0,43.45101,-80.49588,329.0986633300781
0,0,0,43.451,-80.49589,329.1275939941406
0,0,0,43.45101,-80.49589,329.09765625
0,0,0,43.451,-80.4959,329.1240844726562
0,0,0,43.45101,-80.4959,329.0962829589844
0,0,0,43.451,-80.49591,329.1205749511719
0,0,0,43.45101,-80.49591,329.0949096679688
